brand,model,year,mileage,fuel,power_ps,price
Audi,A3 Audi,2022,140950,Benzin,204,175001
Volkswagen,T-Cross 1.0,2025,5448,Benzin,116,237001
Toyota,Corolla 1.8,2022,61725,Benzin,122,186701
Skoda,Octavia Octavia,2010,158845,Benzin,122,3999
Toyota,Corolla 1.8,2022,61725,Benzin,122,186701
Mercedes-Benz,C 220,2016,189400,Diesel,170,13490
Peugeot,508 Sw,2012,100000,Benzin,156,7950
Honda,HR-V 1.5,2018,121193,Benzin,131,12990
Audi,A4 3.0,2002,129500,Benzin,220,4980
Mercedes-Benz,CLS 350,2017,121120,Diesel,258,26900
Mercedes-Benz,A 180,2018,83396,Benzin,122,17990
Opel,Astra L,2022,66432,Diesel,131,154501
Mercedes-Benz,S 500,2021,84756,Benzin,435,69900
Toyota,Land Cruiser,2022,188000,Diesel,204,46888
Peugeot,308 1.2PureTech,2024,19050,Benzin,131,179801
Ford,Transit Connect,2017,164072,Diesel,120,9800
BMW,118 i,2018,40000,Benzin,136,15990
Volkswagen,Polo 1.0,2021,84930,Benzin,95,138901
Toyota,Yaris 1.0,2022,23473,Benzin,72,139891
Opel,Adam Adam,2017,193000,Benzin,87,4550
Mercedes-Benz,E 220,2015,127000,Diesel,170,18900
Volkswagen,Golf GTI,2022,15989,Benzin,245,259801
Peugeot,3008 1.6,2024,17773,Benzin,224,229991
Audi,RS7 Sportback,2025,2000,Benzin,760,2490001
Opel,Corsa E,2016,132000,Benzin,90,6990
Renault,Espace Navitech,2009,164000,Benzin,136,3900
SsangYong,Korando e-Motion,2022,27250,Elektro,190,162901
CUPRA,Formentor 1.5,2024,20079,Benzin,150,233491
MG,MG3 1.5,2024,29766,Benzin,194,15360
Opel,Insignia B,2021,60000,Diesel,122,13990
Hyundai,TUCSON TUCSON,2021,58443,Benzin,265,219901
BMW,530 i,2003,233000,Benzin,231,4990
Toyota,C-HR Team,2018,44584,Benzin,140,17680
MG,"MG3 1,5",2025,5,Benzin,115,156101
Dacia,Spring ESSENTIAL,2023,10792,Elektro,45,114101
Volkswagen,Tiguan 1.5,2025,6020,Benzin,150,368801
Hyundai,TUCSON 1.6,2024,14500,Benzin,150,26890
Citroen,C1 VTi,2017,15600,Benzin,69,129901
BMW,118 Baureihe,2012,149000,Benzin,170,9990
SEAT,Leon Style,2019,100000,,131,99701
Kia,PV5 Passenger,,10,Elektro,121,328501
BMW,X1 xDrive,2015,96000,Diesel,143,12999
Opel,Corsa-e Edition+Sitz-LenkradHzg+PDC+CarPlay,2024,8100,Elektro,136,185401
Opel,Crossland X,2020,28155,Benzin,110,12220
Opel,Corsa-e Edition+Sitz-LenkradHzg+PDC+CarPlay,2024,8100,Elektro,136,185401
