brand,model,year,mileage,fuel,transmission,power_ps,price
Hyundai,BAYON 1.0,2021,31839,Benzin,,101,16900
Fiat,500 Lim.,2019,35100,Benzin,,69,10990
DS,Automobiles DS,2023,11979,Diesel,,131,289951
Hyundai,i10 Trend,2020,13000,Benzin,Automatik,67,134501
CUPRA,Formentor 1.5,2023,34539,Benzin,,150,199501
Toyota,Corolla Combi,2002,214526,Benzin,,110,1999
BMW,435 i,2014,35363,Benzin,,306,31500
Audi,RS6 ABT,2025,105,Benzin,,760,2649001
Opel,Astra H,2009,111000,Benzin,,90,3999
Volkswagen,T-Cross 1.0,2025,24995,Benzin,,116,239501
Fiat,500e Action,2023,16857,Elektro,,95,129501
Volkswagen,Arteon Shooting,2023,58000,Diesel,,150,259501
Opel,Adam S,2015,90950,Benzin,,150,9499
Audi,A6 allroad,2018,120664,Diesel,,218,19950
Dacia,Sandero Comfort,2019,8075,Benzin,,73,8950
Hyundai,TUCSON 1.6,2025,5,Benzin,,160,264101
Skoda,Karoq Ambition/DSG/Android,2018,121724,Diesel,,116,15999
Opel,Astra H,2007,137839,Benzin,,90,2490
Nissan,Navara NP300,2003,264376,Diesel,,133,5499
BMW,520 520,2014,181893,Diesel,,190,15400
Skoda,Kamiq 1.0,2025,14908,Benzin,,116,219401
Toyota,Aygo Aygo,2007,187000,Benzin,,68,2199
Audi,A3 Sportback,2015,139100,Diesel,,150,13990
Mercedes-Benz,C 220,2016,189400,Diesel,,170,13490
Ford,Transit Custom,2017,96000,Diesel,,131,18450
Mitsubishi,ASX 1.6,2019,42904,Benzin,,117,13990
Maxus,Euniq 5,2022,950,Elektro,,177,229901
Peugeot,3008 1.6,2024,17773,Benzin,,224,229991
Opel,Crossland Edition,2022,73750,Benzin,,130,13950
Toyota,RAV 4,2019,115000,Benzin,,178,24990
Volkswagen,Polo 1.0,2021,84930,Benzin,,95,138901
Audi,TT 3.2,2007,382449,Benzin,,250,6900
Dacia,Spring ELECTRIC,2023,9197,Elektro,,45,114001
Volkswagen,Golf Team,2010,122885,Benzin,,122,5250
MINI,Cooper S,2003,131981,Benzin,,163,2299
Ford,Kuga 1.5,2017,35910,Benzin,,150,14450
Volkswagen,Tiguan Automatik*S.Heft*Digi.Cokpit*SHZ*Navi*LED,2018,155361,Diesel,Automatik,150,17990
MG,MG5 51,2022,19388,Elektro,,177,157501
Suzuki,Jimny,2026,1999,Benzin,,105,449001
Volkswagen,T-Cross 1.0,2021,10115,Benzin,,110,18990
Jeep,Renegade Night,2017,145000,Diesel,,140,11900
Audi,A6 3.0,2013,198000,Diesel,,245,13900
Kia,XCeed 1.5,2025,19866,Benzin,,140,227901
Audi,Q3 Sportback,2022,176130,Diesel,,150,23450
Mercedes-Benz,Viano Lang,2013,149400,Diesel,,163,19980
Mercedes-Benz,E 250,2011,220000,Diesel,,204,9890
Mitsubishi,ASX 1.6,2017,81056,Benzin,,117,10890
Mercedes-Benz,Vito Kasten,2015,261000,Diesel,,88,69881
Peugeot,2008 Active*AUTOMATIK*SHZ*PDC*BT*Tempomat*,2008,108750,Benzin,,110,9590
Mercedes-Benz,CLA 220,2015,218500,Diesel,,177,15450
Kia,Sportage 1.6d,2023,87415,Diesel,,136,199501
Mercedes-Benz,Citan 109,2014,155677,Diesel,,90,7600
Dacia,Spring Comfort,2022,43890,Elektro,,45,87751
Opel,Grandland Edition,2026,1,Benzin,,145,284251
Peugeot,5008 Active,2015,194000,Diesel,,150,5500
Kia,Stonic 1.0T,2020,59400,Benzin,,101,12990
BMW,420 X,2015,163000,Diesel,,190,15990
BMW,520 i,1998,79000,Benzin,,150,5999
Hyundai,TUCSON 1.6,2024,16907,Benzin,,230,304701
SEAT,Ibiza Reference,2025,1425,Benzin,,80,149801
Hyundai,IONIQ Ioniq,2018,70630,Elektro,,120,11790
Hyundai,i30 1.4,2020,91590,Benzin,,140,137901
Nissan,Qashqai 1.2,2016,61788,Benzin,,116,11991
Volkswagen,Tiguan Allspace,2019,223000,Diesel,,190,19900
Volkswagen,T5 Multivan,2013,262051,Diesel,,179,15749
MG,"MG3 1,5",2025,5,Benzin,,115,156101
MG,ZS 1.5,2026,40,Benzin,,116,179901
Dacia,Spring ESSENTIAL,2023,10792,Elektro,,45,114101
Skoda,"Kamiq 1,0TSI",2020,43500,Benzin,,116,17980
Opel,Meriva B,2011,142400,Benzin,,140,4779
Renault,Clio VI,2026,7500,Benzin,,114,236501
BMW,118 Baureihe,2012,149000,Benzin,,170,9990
Tesla,Model 3,2022,39998,Elektro,,325,259801
Land,Rover Discovery,2008,223000,Diesel,,190,8450
BMW,114 i,2012,216861,Benzin,,102,3900
Hyundai,TUCSON 1.6,2024,14500,Benzin,,150,26890
Fiat,500 Automatik/Navi/Led/Teilleder/Sitzheizung,2019,113000,Benzin,Automatik,69,10000
Skoda,Enyaq 85,2025,13695,Elektro,,286,37991
Opel,Crossland X,2021,91061,Diesel,,120,12850
Mazda,MX-3 Basis,2021,53141,Elektro,,145,13990
Ford,Fusion 1.4Tdci,2003,130117,Diesel,,68,2490
Volkswagen,Touran Trendline,2007,142300,Benzin,,140,5850
Audi,A1 SB,2021,56842,Benzin,,110,166501
Toyota,C-HR Team,2018,44584,Benzin,,140,17680
Citroen,Berlingo Selection,2015,103000,Diesel,,120,8790
MG,MG5 Comf,2022,9150,Elektro,,177,154501
Peugeot,3008 Allure,2020,82500,Benzin,,131,14877
Mercedes-Benz,E 300,2008,358000,Diesel,,211,5990
Mercedes-Benz,Vito Tourer,2015,116050,Diesel,,163,199901
Rolls-Royce,Cullinan Black,2023,12723,Benzin,,600,459848
Volkswagen,Tiguan 2.0,2015,88000,Diesel,,140,14990
Opel,Mokka 1.2,2021,36356,Benzin,,101,139001
SEAT,Leon Comfort,2009,141400,Benzin,,160,4990
Peugeot,206 Basis,2011,114000,Benzin,,73,3490
Opel,Corsa D,2009,162515,Benzin,,80,2299
Peugeot,206 Basis,2011,114000,Benzin,,73,3490
BMW,M4 SCHALTER/HUD/H&K/360°/LASER/CARPLAY,2022,1325,Benzin,,480,59900
Alfa,Romeo Tonale,2022,19655,Benzin,,131,25890
Volkswagen,Taigo 1.0,2023,15100,Benzin,,110,169801
Hyundai,TUCSON TUCSON,2016,134562,Benzin,,132,12480
Renault,Captur INTENS,2020,104079,Benzin,,91,139001
BMW,X3 xDrive,2013,75631,Benzin,,184,16500
Volkswagen,Polo VI,2021,35138,Benzin,,80,129901
Audi,Q3 Sportback,2023,69730,Benzin,,245,329001
Mazda,CX-3 2.0,2017,101487,Benzin,,120,12980
Volkswagen,Tiguan Allspace,2019,133999,Diesel,,239,24999
Volkswagen,Passat Variant,2011,215950,Diesel,,140,5950
Volkswagen,Sharan United,2008,238500,Diesel,,116,4690
Lamborghini,"Urus B&O/23""/AHK/ACC/ANIMA/NIGHTV./STANDH",2019,156226,Benzin,,650,161800
Mitsubishi,Eclipse Cross,2019,69900,Benzin,,163,15900
Jeep,Renegade UPLAND,2022,20250,Benzin,,179,199501
Volkswagen,Golf GTI,2021,33683,Benzin,,245,248901
BYD,Seal U,,0,Benzin,,218,297901
Skoda,Roomster Praktik,2009,81000,Benzin,,86,4790
Audi,A5 Sportback,2012,160000,Benzin,,211,9900
Renault,ZOE INTENS,2020,22814,Elektro,,69,109001
Volkswagen,Polo 1.0,2021,32000,Benzin,,80,14490
BMW,218 i,2024,28500,Benzin,,136,279991
Volkswagen,T-Roc T-ROC,2022,21000,Benzin,,150,238001
Audi,Q4 e-tron,2022,29141,Elektro,,170,267801
Skoda,Karoq 1.5,2018,55900,Benzin,,150,17890
Dacia,Duster II,2021,48650,Benzin,,131,13750
Volkswagen,Tiguan 1.5,2025,6020,Benzin,,150,368801
Peugeot,5008 Hybrid,2025,40170,Benzin,,145,284901
Kia,Ceed SW,2018,99800,Benzin,,135,10890
Opel,Astra L,2022,66432,Diesel,,131,154501
Renault,Megane 3,2013,194161,Benzin,,110,4999
Ford,Mondeo 2.0,2020,67048,Diesel,,190,23990
BMW,X3 xDr,2017,54106,Benzin,,184,21950
BMW,220 Gran,2020,76312,Benzin,,178,21900
Ford,Tourneo Courier,2025,7151,Benzin,,125,258901
Porsche,Macan /PANO/RÜCKFAHRKAMERA/BI-XENON/CARPLAY,2018,33770,Benzin,,252,37500
Volkswagen,ID.4 Pro,2021,49900,Elektro,,204,229001
Opel,Corsa E,2018,66500,Benzin,,90,9490
BMW,X3 2.0d,2006,150000,Diesel,,150,4200
Opel,Corsa E,2018,66500,Benzin,,90,9490
Ford,Focus 1.5d,2022,23437,Diesel,,120,159501
Land,Rover Discovery,2016,141200,Diesel,,179,12990
Volvo,V90 Inscription,2016,105490,Diesel,,190,19990
Audi,A4 Avant,2021,138728,Diesel,,136,179791
Volkswagen,T-Cross Life,2020,83500,Diesel,,95,158001
Citroen,C3 ë,,,Elektro,,113,175901
BMW,X1 sDrive,2019,111400,Benzin,,140,16400
Peugeot,Rifter Kombi,2021,46326,Diesel,,102,163101
Mercedes-Benz,E 300,2022,45556,Benzin,,320,354501
Honda,CR-V 1.6i-DTEC,2016,109173,Diesel,,160,14990
Mercedes-Benz,C 43,2020,73052,Benzin,,390,40990
BMW,X1 20d,2012,209971,Diesel,,177,8490
Volkswagen,Golf Sportsvan,2017,59700,Benzin,,125,14780
Audi,Q4 e-tron,2022,63380,Elektro,,204,249701
Audi,A6 Avant,2016,126024,Diesel,,218,19990
Mercedes-Benz,A 180,2018,91340,Benzin,Automatik,136,17990
Opel,Astra Edition,2020,60895,Benzin,,131,119991
Land,Rover Range,2022,36000,Benzin,,404,469801
Hyundai,i20 1-Hand,2012,188700,Diesel,,77,2450
Toyota,RAV 4,2017,37428,Benzin,,155,21200
Renault,Clio IV,2018,124000,Benzin,,73,6890
Nissan,X-Trail 1.5,2024,5301,Benzin,,204,289801
MG,MG3 1.5,2024,29766,Benzin,,194,15360
Mercedes-Benz,GLE 300,2021,145000,Diesel,,245,42998
MINI,One Cabrio,2015,42000,Benzin,,98,11490
Renault,Megane IV,2018,126000,Diesel,Automatik,110,103991
